#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
000892667-01 000892667 01   2.26180947 131.74016724     7.9110      14.9  12.6022    0.694   1.654  6609 4.105    0.03653 0.003844    1.25      6.0   3503.642
000892667-02 000892667 02 155.73335596 275.32133767    10.0871     384.5   4.2879    3.301   1.654  6609 4.105    0.61373 0.018292  266.93      9.0     12.415
000892667-03 000892667 03 114.54273462 205.27220685     9.6127     177.0  17.5239    2.362   1.654  6609 4.105    0.50007 0.013086   36.01      7.0     18.700
000892667-04 000892667 04 144.39712727 216.83978856     8.9984     185.0   6.2121    2.548   1.654  6609 4.105    0.58357 0.014117   96.55      5.6     13.731
000892667-05 000892667 05  84.14204727 163.30538043     7.5900     162.7   9.5016    2.457   1.654  6609 4.105    0.40713 0.013615   31.69      6.8     28.213
000893209-01 000893209 01 424.74515836 163.56280211     9.1062     286.4   5.2242    1.704   0.910  6248 4.371    0.98661 0.017164  384.59      8.4      1.162
001026133-01 001026133 01   1.34627457 131.88552200    10.2250       7.4  13.3629    0.442   1.615  7001 4.150    0.02634 0.002511    1.04      4.1   8093.533
001026294-01 001026294 01   0.77967619 132.29740375     8.5039       8.2   4.0705    0.736   2.496  7892 3.921    0.02052 0.002704    1.49      8.9  51434.360
001026957-01 001026957 01  21.76120549 145.06875107    29.9742      93.8  12.5349    0.770   0.720  4859 4.612    0.14008 0.009805    8.63      9.1     13.195
001160891-01 001160891 01   0.94048470 131.88464580    12.1769      28.7   5.2523    0.921   1.600  6842 4.170    0.02093 0.005274    1.28      6.2  11479.006
001160891-02 001160891 02   0.94044639 132.18762390    13.5525      60.1   7.2068    1.251   1.600  6842 4.170    0.02093 0.007167    1.19      8.7  11479.630
001161345-01 001161345 01   4.28736748 133.33303568    44.0797      75.7   5.2474    1.019   0.815  5296 4.576    0.05011 0.011460    1.79     18.2    186.439
001161345-02 001161345 02   4.28874933 133.43545622    20.5305      36.3   6.3895    0.532   0.815  5296 4.576    0.05012 0.005985    3.59      6.5    186.359
001162150-01 001162150 01   1.13053329 131.52347590    11.0909      81.0   2.7903    4.505   4.311  7090 3.489    0.02716 0.009576    1.70     12.7  57036.583
001162150-02 001162150 02   0.83348214 132.35279485     8.2822      63.1   6.2543    3.480   4.311  7090 3.489    0.02217 0.007398    1.20     11.6  85638.603
001162150-03 001162150 03   8.11496009 136.77662008    11.9566     146.7   2.5000    5.287   4.311  7090 3.489    0.10107 0.011238   24.96     -1.0   4119.231
001162150-04 001162150 04   7.07437026 134.87951914    14.5187     621.9   2.0247   12.435   4.311  7090 3.489    0.09223 0.026434   13.59     17.2   4946.305
001162150-05 001162150 05   5.96696160 134.02404814    16.2528     883.5   1.1874   13.823   4.311  7090 3.489    0.08234 0.029384   28.78     21.4   6206.694
001162339-01 001162339 01   1.39513121 132.70952232     8.0935      61.8   3.9482    1.513   1.656  6644 4.104    0.02647 0.008372    1.56      8.5   6831.242
001162345-01 001162345 01   1.10909858 132.07506773     9.5400      31.3   3.0897    3.379   5.138  6495 3.319    0.02646 0.006027    1.51      9.9  60133.088
001162345-02 001162345 02   0.54484610 131.58487793     9.3027      20.0   4.1153    2.461   5.138  6495 3.319    0.00000 0.004389    1.11      8.2      0.000
001162345-03 001162345 03   3.24252566 134.58181816    14.9516     210.2   0.5655    7.939   5.138  6495 3.319    0.05409 0.014159   38.72     15.7  14384.534
001162345-04 001162345 04   4.36616693 133.56738149    13.2247      50.8   2.0231    3.751   5.138  6495 3.319    0.06596 0.006691   15.17      5.2   9674.011
001162345-05 001162345 05   1.76234978 132.03176793    12.7183      97.5   0.6772    5.485   5.138  6495 3.319    0.03603 0.009783   15.21      7.7  32430.294
001162345-06 001162345 06   3.72085992 134.52647695    12.7641     217.7   0.8981    7.734   5.138  6495 3.319    0.05929 0.013794   31.35     17.9  11973.357
001292087-01 001292087 01   1.09517648 132.04783502     9.2362      28.1   3.1720    0.943   1.502  6328 4.150    0.02187 0.005752    1.47      8.9   6777.893
