#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
000757099-01 000757099 01   0.72536513 131.54994352     8.8329      88.0   5.7622    1.951   2.109  5519 3.822    0.01620 0.008479    1.17      5.6  14092.177
000892376-01 000892376 01 317.57999689 197.44039070    11.8052     704.1  11.1032    1.746   0.605  3973 4.656    0.77049 0.026444  154.05      5.6      0.138
000892376-02 000892376 02   1.53230056 132.12351704    11.5327     101.4   4.9719    0.699   0.605  3973 4.656    0.02200 0.010584    1.61     11.9    168.816
000892376-03 000892376 03 193.68436630 202.68693406    14.8353    1055.9   5.9238    2.116   0.605  3973 4.656    0.55411 0.032047  184.23      8.1      0.266
000892376-04 000892376 04 432.87053961 504.17145838    11.3740    1913.1   5.9334    2.601   0.605  3973 4.656    0.94720 0.039398  549.67      9.7      0.091
000892376-05 000892376 05 267.09331156 208.27387841    10.3088     807.7   7.9520    1.839   0.605  3973 4.656    0.68650 0.027848  191.48      7.0      0.173
000892376-06 000892376 06   1.53163247 132.15124537    10.4546     382.8   4.5000    1.145   0.605  3973 4.656    0.02199 0.017351    2.70     -1.0    168.914
000893004-01 000893004 01 399.72228481 334.41195144     7.2402     271.8   8.5210    1.675   0.943  6146 4.497    1.06875 0.016278  254.34      6.6      0.995
000893507-01 000893507 01 263.18752771 201.75231020    15.4497     554.7   3.5324    8.015   1.684  5382 3.917    0.76284 0.043614  169.94      7.5      3.663
000893507-02 000893507 02 504.62963995 493.11819706    15.4348     888.9   5.0567    9.952   1.684  5382 3.917    1.17735 0.054155  254.48     10.6      1.538
000893507-03 000893507 03 308.54694597 161.00743680    12.1902     542.9  16.2597    4.522   1.684  5382 3.917    0.84815 0.024609   81.14      6.5      2.963
000893507-04 000893507 04 549.80432867 443.93588474    12.7124     875.9   6.7229    7.872   1.684  5382 3.917    1.24661 0.042836  219.45      8.9      1.372
000893507-05 000893507 05 207.34923719 143.01884398    11.0179     693.0   7.2952    5.812   1.684  5382 3.917    0.65072 0.031629   82.49      9.9      5.035
000893647-01 000893647 01 527.19055922 379.74526545    13.4245    1956.2   7.0773    3.070   0.696  4856 4.583    1.12137 0.040427  536.33      7.4      0.192
000893647-02 000893647 02 558.16488446 413.02708587    13.5317    1992.1   8.9648    3.031   0.696  4856 4.583    1.16487 0.039903  479.26      7.2      0.178
000893647-03 000893647 03 360.26097655 241.64523539     9.6001    1883.2   4.2586    4.731   0.696  4856 4.583    0.86999 0.062296  276.53      6.1      0.319
001026032-01 001026032 01   8.45948590 132.91280051  1571.4124   49578.3   2.6546   27.061   0.702  5951 4.638    0.07484 0.353251   22.23    850.8     98.860
001026032-02 001026032 02   8.46055105 131.63510472  1110.2016    6431.7   5.1518   10.092   0.702  5951 4.638    0.07485 0.131740    6.73    186.1     98.843
001026133-01 001026133 01   0.89703204 131.83686294     8.2714      19.0   4.1961    0.751   1.615  7001 4.150    0.02009 0.004264    1.45      9.2  13907.180
001026474-01 001026474 01 410.87999779 305.10449074    13.2430    2973.0   4.0271    4.211   0.690  4276 4.599    0.95589 0.055926  551.57      5.7      0.156
001028018-01 001028018 01   0.61821048 132.08222312     8.6042      96.8   2.1303    1.529   1.378  5543 4.129    0.01388 0.010168    1.58      6.7   8340.489
001028018-02 001028018 02   0.61610197 131.74301417     8.1597     184.2   2.8432    2.244   1.378  5543 4.129    0.01385 0.014921    1.22      7.1   8378.569
001028246-01 001028246 01  55.56866483 187.00614018    19.3265    1983.9   4.7072   40.451   9.096  5443 2.759    0.34236 0.040753   93.85      4.8    555.104
001160891-01 001160891 01   0.94042166 132.41600282     8.2449       2.9   6.2304    0.280   1.600  6842 4.170    0.02092 0.001605    1.24      0.6  11480.033
001160891-02 001160891 02  58.26083042 166.38694952     9.5981      51.3   2.0279    1.337   1.600  6842 4.170    0.32761 0.007656   99.13      0.7     46.831
001160891-03 001160891 03  58.26234193 165.98240954    10.1822     358.1   7.5000    3.055   1.600  6842 4.170    0.32762 0.017498   60.09     -1.0     46.830
001160891-04 001160891 04 109.94266243 162.18484784     9.3176     576.0   8.0284    4.218   1.600  6842 4.170    0.50029 0.024159   68.49      8.8     20.083
001160891-05 001160891 05  98.02288181 172.18142155    11.0258     848.1   4.4372    8.628   1.600  6842 4.170    0.46344 0.049415   54.45     11.7     23.403
001160891-06 001160891 06 515.36457354 540.06234950     8.3258     725.9  43.7627    4.641   1.600  6842 4.170    1.40126 0.026584   65.62      8.3      2.560
001160891-07 001160891 07  47.99188437 139.43431228     8.0580     402.4   3.2900    4.094   1.600  6842 4.170    0.28789 0.023447   36.91      9.3     60.648
001160891-08 001160891 08  83.84037103 192.96549762     8.8507     622.3   2.2549    4.654   1.600  6842 4.170    0.41759 0.026656  140.32      9.5     28.825
001160891-09 001160891 09  31.37755437 149.45215751     9.4799     397.2   6.2193    3.978   1.600  6842 4.170    0.21687 0.022787   13.75      9.8    106.876
001160891-10 001160891 10 100.10263588 228.45220978     8.7709     581.7   3.7145    4.268   1.600  6842 4.170    0.46997 0.024447  130.41      8.5     22.757
001162150-01 001162150 01   1.34906227 131.76822340     8.1471      41.4   4.7741    3.220   4.311  7090 3.489    0.03056 0.006845    1.35      6.9  45063.194
001162150-02 001162150 02   0.83332247 131.60855310     8.0266      56.2   5.7788    3.877   4.311  7090 3.489    0.02216 0.008242    1.05      9.3  85660.483
001162150-03 001162150 03  14.63901538 135.62110526     8.5364     793.4   0.9334   12.495   4.311  7090 3.489    0.14977 0.026560  117.31      8.5   1875.781
001162345-01 001162345 01   1.10912678 132.17315939     7.9761      23.4   4.0581    2.902   5.138  6495 3.319    0.02646 0.005176    1.32      7.9  60131.049
001162345-02 001162345 02  90.71970270 157.89061771     7.3964     150.2   8.0822    6.869   5.138  6495 3.319    0.49853 0.012252   56.72      4.6    169.358
001162345-03 001162345 03  58.05528953 144.10904431     7.1075     240.4   5.8743   10.562   5.138  6495 3.319    0.37022 0.018837   21.23      7.5    307.103
001162345-04 001162345 04 221.67252901 270.47324695     7.7813     390.9   3.1241   10.850   5.138  6495 3.319    0.90442 0.019352  407.75      8.2     51.459
001292087-01 001292087 01   1.09527230 132.11363317     9.0983      21.4   2.2630    0.809   1.502  6328 4.150    0.02187 0.004935    1.96      6.1   6777.102
001292798-01 001292798 01 653.34842117 140.93743637    10.0032      66.1  25.0605    2.191   2.414  8177 3.942    1.81253 0.008317  114.92      8.4      7.105
001293031-01 001293031 01   1.07870861 131.64675337     8.1196       0.0   4.1892    0.006   5.302  6341 3.301    0.02616 0.000010    1.38      0.0  59513.156
001294670-01 001294670 01   1.07312398 132.59195390     7.8201      68.2   3.7869    1.871   1.954  7277 4.053    0.02386 0.008776    1.36      8.1  16844.328
001294670-02 001294670 02   5.36878217 135.73052838     7.9646     188.9   5.8447    3.498   1.954  7277 4.053    0.06981 0.016403    2.14      8.0   1968.577
001294756-01 001294756 01   0.68848518 131.50478487     9.8071       3.8   4.6040    0.603   3.003  8615 3.784    0.01923 0.001841    1.26      7.7 120344.497
001294756-02 001294756 02  64.45194672 181.91657099     8.7782     171.2   2.7163    4.382   3.003  8615 3.784    0.39648 0.013372  106.13      7.1    283.120
001294756-03 001294756 03  66.50761746 167.72071274     9.3434     189.7   1.0365    4.805   3.003  8615 3.784    0.40487 0.014664  234.71      1.8    271.513
001294756-04 001294756 04  66.48226543 168.35461602     9.4459     205.0   1.5380    4.865   3.003  8615 3.784    0.40477 0.014847  180.14      6.8    271.651
001294756-05 001294756 05  55.10492004 177.95248355     9.2261     231.8   1.9007    5.061   3.003  8615 3.784    0.35716 0.015444  136.96      7.5    348.898
001429653-01 001429653 01   2.34036863 131.64537814     8.9766      51.7  10.3848    1.518   1.940  7106 4.094    0.04122 0.007172    1.42      8.1   5060.778
001430590-01 001430590 01 472.24063283 588.66215143    12.0766     371.8  15.5151    6.763   3.331  6809 3.669    1.46731 0.018605  188.29     12.0      9.925
001430590-02 001430590 02   0.69346057 131.89177784    11.9554      15.6   2.3308    1.535   3.331  6809 3.669    0.01896 0.004223    1.38      6.9  59463.218
001431122-01 001431122 01   4.30004660 134.84753916     7.3827      69.8   4.2555    0.996   0.986  5300 4.385    0.04923 0.009256    3.65      7.4    283.543
001431794-01 001431794 01   1.25177170 132.11994657     9.4245      91.2   5.1909    2.630   2.349  7329 3.915    0.02689 0.010260    1.25      9.5  19722.490
001432214-01 001432214 01 465.33100391 560.90242661   361.9839   41229.5   5.3323   24.491   1.212  6018 4.327    1.22708 0.185176  790.12     33.2      1.146
001433399-01 001433399 01   1.30080154 132.20587556     7.9137      25.0   9.3502    0.915   1.815  6865 4.076    0.02629 0.004620    1.24      5.4   9486.213
001433399-02 001433399 02  29.49751555 147.67971788    14.5519     170.6   8.2423    2.637   1.815  6865 4.076    0.21061 0.013315   16.27      4.9    147.795
001433399-03 001433399 03  45.61722199 164.00318595    11.3586     416.6   2.5424    4.136   1.815  6865 4.076    0.28164 0.020882   82.13      8.9     82.642
001433399-04 001433399 04  31.55590238 140.27387048    13.2136     595.7   1.4573    5.013   1.815  6865 4.076    0.22029 0.025311   95.00     10.0    135.083
001433399-05 001433399 05  50.22286219 152.82413496    10.5496     452.5   4.1389    4.390   1.815  6865 4.076    0.30030 0.022167   50.53      9.1     72.695
001433399-06 001433399 06  16.67446845 144.47706787    10.8043     367.0   0.9489    3.625   1.815  6865 4.076    0.14398 0.018303  120.15      6.8    316.207
001433399-07 001433399 07  27.22127316 153.65891099     9.2911     372.2   1.3434    3.576   1.815  6865 4.076    0.19963 0.018053  150.87      7.2    164.499
