tce,keep,onEB,onCum,onOther
000892667-01,True,False,False,False
000892667-02,True,False,False,False
000892667-03,True,False,False,False
000892667-04,True,False,False,False
000892667-05,True,False,False,False
000893209-01,True,False,False,False
001026133-01,True,False,False,False
001026294-01,True,False,False,False
001026957-01,False,True,True,False
001160891-01,True,False,False,False
001160891-02,True,False,False,False
001161345-01,False,True,True,False
001161345-02,False,True,True,False
001162150-01,True,False,False,False
001162150-02,True,False,False,False
001162150-03,True,False,False,False
001162150-04,True,False,False,False
001162150-05,True,False,False,False
001162339-01,True,False,False,False
001162345-01,True,False,False,False
001162345-02,True,False,False,False
001162345-03,True,False,False,False
001162345-04,True,False,False,False
001162345-05,True,False,False,False
001162345-06,True,False,False,False
001292087-01,True,False,False,False
001294670-01,True,False,False,False
001294670-02,True,False,False,False
001296164-01,True,False,False,False
001296779-01,True,False,False,False
001297510-01,True,False,False,False
001429653-01,True,False,False,False
001429653-02,True,False,False,False
001429653-03,True,False,False,False
001430590-01,True,False,False,False
001430590-02,True,False,False,False
001430741-01,True,False,False,False
001430741-02,True,False,False,False
001430741-03,True,False,False,False
001430741-04,True,False,False,False
001430741-05,True,False,False,False
001430741-06,True,False,False,False
001431794-01,True,False,False,False
001431794-02,True,False,False,False
001432149-01,True,False,False,False
001433399-01,True,False,False,False
001433399-02,True,False,False,False
001433962-01,False,False,True,False
001433980-01,False,False,False,False
001433980-02,False,False,False,False
001434372-01,True,False,False,False
001434660-01,True,False,False,False
001434660-02,True,False,False,False
001434660-03,True,False,False,False
001434660-04,True,False,False,False
001434800-01,True,False,False,False
001434800-02,True,False,False,False
001434800-03,True,False,False,False
001570349-01,True,False,False,False
001570349-02,True,False,False,False
001570349-03,True,False,False,False
001570349-04,True,False,False,False
001571152-01,True,False,False,False
001571152-02,True,False,False,False
001571717-01,True,False,False,False
001571717-02,True,False,False,False
001572114-01,True,False,False,False
001572114-02,True,False,False,False
001573174-01,True,False,False,False
001573174-02,True,False,False,False
001573836-01,False,True,False,False
001574792-01,True,False,False,False
001574792-02,True,False,False,False
001575888-01,True,False,False,False
001575977-01,True,False,False,False
001575977-02,True,False,False,False
001575977-03,True,False,False,False
001575977-04,True,False,False,False
001575977-05,True,False,False,False
001575977-06,True,False,False,False
001575977-07,True,False,False,False
001576115-01,True,False,False,False
001576115-02,True,False,False,False
001576115-03,True,False,False,False
001576144-01,True,False,False,False
001576144-02,True,False,False,False
001576144-03,True,False,False,False
001576704-01,True,False,False,False
001577039-01,True,False,False,False
001577912-01,True,False,False,False
001718290-01,True,False,False,False
001718594-01,True,False,False,False
001718594-02,True,False,False,False
001718594-03,True,False,False,False
001718594-04,True,False,False,False
001719308-01,True,False,False,False
001720673-01,True,False,False,False
001720673-02,True,False,False,False
001720673-03,True,False,False,False
001720673-04,True,False,False,False
001720673-05,True,False,False,False
001720673-06,True,False,False,False
001721361-01,True,False,False,False
001724222-01,True,False,False,False
001724222-02,True,False,False,False
001724222-03,True,False,False,False
001724222-04,True,False,False,False
001724222-05,True,False,False,False
001724222-06,True,False,False,False
001724222-07,True,False,False,False
001724222-09,True,False,False,False
001724222-10,True,False,False,False
001724961-01,True,False,False,False
001724961-02,True,False,False,False
001724961-03,True,False,False,False
001724961-04,True,False,False,False
001724961-05,True,False,False,False
001724968-01,True,False,False,False
001725907-01,True,False,False,False
001726231-01,True,False,False,False
001849235-01,True,False,False,False
001849235-02,True,False,False,False
001863905-01,True,False,False,False
001865567-01,True,False,False,False
001866366-01,True,False,False,False
001868404-01,True,False,False,False
001869607-01,True,False,False,False
001870849-01,True,False,False,False
001870849-02,True,False,False,False
001870849-03,True,False,False,False
001871056-01,False,False,True,False
001871056-02,False,False,True,False
001872262-01,True,False,False,False
001872948-01,True,False,False,False
001872948-02,True,False,False,False
001872948-03,True,False,False,False
001872948-04,True,False,False,False
001873030-01,True,False,False,False
001873030-02,True,False,False,False
001873918-01,True,False,False,False
001873918-02,True,False,False,False
001995038-01,True,False,False,False
001995431-01,True,False,False,False
001995519-01,False,False,True,False
001996728-01,True,False,False,False
001996728-02,True,False,False,False
001996728-03,True,False,False,False
002010414-01,True,False,False,False
002010414-02,True,False,False,False
002010607-01,False,True,True,False
002011214-01,True,False,False,False
002011424-01,True,False,False,False
002011424-02,True,False,False,False
002011424-03,True,False,False,False
002011424-04,True,False,False,False
002011424-05,True,False,False,False
002011424-06,True,False,False,False
002012722-01,True,False,False,False
002012722-02,True,False,False,False
002012722-03,True,False,False,False
002012821-01,True,False,False,False
002015135-01,True,False,False,False
002015501-01,True,False,False,False
002015501-02,True,False,False,False
002015501-03,True,False,False,False
002015501-04,True,False,False,False
002015501-05,True,False,False,False
002017224-01,True,False,False,False
002018261-01,True,False,False,False
002018261-02,True,False,False,False
002018685-01,True,False,False,False
002018827-01,True,False,False,False
002019297-01,True,False,False,False
002019297-02,True,False,False,False
002019477-01,False,False,True,False
002021099-01,True,False,False,False
