tce,keep,onEB,onCum,onOther
000757099-01,True,False,False,False
000892376-01,True,False,False,False
000892376-02,True,False,False,False
000892376-03,True,False,False,False
000892376-04,True,False,False,False
000892376-05,True,False,False,False
000892376-06,True,False,False,False
000893004-01,True,False,False,False
000893507-01,True,False,False,False
000893507-02,True,False,False,False
000893507-03,True,False,False,False
000893507-04,True,False,False,False
000893507-05,True,False,False,False
000893647-01,True,False,False,False
000893647-02,True,False,False,False
000893647-03,True,False,False,False
001026032-01,False,True,True,False
001026032-02,False,True,True,False
001026133-01,True,False,False,False
001026474-01,True,False,False,False
001028018-01,True,False,False,False
001028018-02,True,False,False,False
001028246-01,True,False,False,False
001160891-01,True,False,False,False
001160891-02,True,False,False,False
001160891-03,True,False,False,False
001160891-04,True,False,False,False
001160891-05,True,False,False,False
001160891-06,True,False,False,False
001160891-07,True,False,False,False
001160891-08,True,False,False,False
001160891-09,True,False,False,False
001160891-10,True,False,False,False
001162150-01,True,False,False,False
001162150-02,True,False,False,False
001162150-03,True,False,False,False
001162345-01,True,False,False,False
001162345-02,True,False,False,False
001162345-03,True,False,False,False
001162345-04,True,False,False,False
001292087-01,True,False,False,False
001292798-01,True,False,False,False
001293031-01,True,False,False,False
001294670-01,True,False,False,False
001294670-02,True,False,False,False
001294756-01,True,False,False,False
001294756-02,True,False,False,False
001294756-03,True,False,False,False
001294756-04,True,False,False,False
001294756-05,True,False,False,False
001429653-01,True,False,False,False
001430590-01,True,False,False,False
001430590-02,True,False,False,False
001431122-01,False,False,True,False
001431794-01,True,False,False,False
001432214-01,False,True,True,False
001433399-01,True,False,False,False
001433399-02,True,False,False,False
001433399-03,True,False,False,False
001433399-04,True,False,False,False
001433399-05,True,False,False,False
001433399-06,True,False,False,False
001433399-07,True,False,False,False
001433399-08,True,False,False,False
001433962-01,False,False,True,False
001433962-02,False,False,True,False
001433962-03,False,False,True,False
001433962-04,False,False,True,False
001433980-01,False,False,False,False
001434013-01,True,False,False,False
001434660-01,True,False,False,False
001434660-02,True,False,False,False
001434800-01,True,False,False,False
001434800-02,True,False,False,False
001434800-03,True,False,False,False
001435448-01,True,False,False,False
001570253-01,True,False,False,False
001570349-01,True,False,False,False
001570924-01,True,False,False,False
001570924-02,True,False,False,False
001570924-03,True,False,False,False
001571511-01,False,True,True,False
001571511-02,False,True,True,False
001571511-03,False,True,True,False
001571717-01,True,False,False,False
001572114-01,True,False,False,False
001572114-02,True,False,False,False
001572948-01,False,False,True,False
001573094-01,True,False,False,False
001573138-01,True,False,False,False
001573138-02,True,False,False,False
001573138-03,True,False,False,False
001573138-04,True,False,False,False
001573174-01,True,False,False,False
001573174-02,True,False,False,False
001573174-03,True,False,False,False
001574792-01,True,False,False,False
001574792-02,True,False,False,False
001574792-03,True,False,False,False
001574792-04,True,False,False,False
001574792-05,True,False,False,False
001574792-06,True,False,False,False
001574792-07,True,False,False,False
001574792-08,True,False,False,False
001574792-09,True,False,False,False
001574792-10,True,False,False,False
001575977-01,True,False,False,False
001576115-01,True,False,False,False
001576115-02,True,False,False,False
001576115-03,True,False,False,False
001576144-01,True,False,False,False
001576144-02,True,False,False,False
001576144-03,True,False,False,False
001576144-04,True,False,False,False
001577912-01,True,False,False,False
001577912-02,True,False,False,False
001717717-01,True,False,False,False
001717717-02,True,False,False,False
001717722-01,False,False,True,False
001718594-01,True,False,False,False
001718594-02,True,False,False,False
001718665-01,True,False,False,False
001719166-01,True,False,False,False
001720673-01,True,False,False,False
001720673-02,True,False,False,False
001721361-01,True,False,False,False
001722506-01,True,False,False,False
001722506-02,True,False,False,False
001722506-03,True,False,False,False
001725193-01,False,False,True,False
001725193-02,False,False,True,False
001726231-01,True,False,False,False
001726231-02,True,False,False,False
001849235-01,True,False,False,False
001849235-02,True,False,False,False
001849341-01,True,False,False,False
001865042-01,False,False,True,False
001865567-01,True,False,False,False
001865567-02,True,False,False,False
001867630-01,True,False,False,False
001870480-01,True,False,False,False
001870849-01,True,False,False,False
001870849-02,True,False,False,False
001870849-03,True,False,False,False
001871056-01,False,False,True,False
001871056-02,False,False,True,False
001872192-01,True,False,False,False
001872192-02,True,False,False,False
001872262-01,True,False,False,False
001872340-01,True,False,False,False
001872340-02,True,False,False,False
001872340-03,True,False,False,False
