skygroup,season,n_transits,n_tces,n_days,transits_per_day,channel
1,0,42,10,369.3986369999984,0.11369830798807247,81
1,1,36,10,373.42409999998927,0.09640513293063044,29
1,2,33,11,325.28240000001097,0.10145030902378636,1
1,3,36,8,347.63679499999853,0.10355635685802521,53
2,0,24,6,369.3986369999984,0.06497046170746998,82
2,1,24,7,373.42409999998927,0.06427008862042029,30
2,2,29,7,325.28240000001097,0.08915330186938802,2
2,3,26,7,347.63679499999853,0.07479070217524042,54
3,0,20,4,369.3986369999984,0.05414205142289165,83
3,1,20,4,373.42409999998927,0.05355840718368358,31
3,2,18,4,325.28240000001097,0.055336532194792565,3
3,3,21,4,347.63679499999853,0.06040787483384804,55
4,0,24,10,369.3986369999984,0.06497046170746998,84
4,1,20,8,373.42409999998927,0.05355840718368358,32
4,2,17,9,325.28240000001097,0.052262280406192976,4
4,3,14,6,347.63679499999853,0.04027191655589869,56
5,0,30,7,369.3986369999984,0.08121307713433748,77
5,1,30,8,373.42409999998927,0.08033761077552537,49
5,2,6,4,325.28240000001097,0.01844551073159752,5
5,3,22,6,347.63679499999853,0.06328444030212652,33
6,0,41,11,369.3986369999984,0.11099120541692788,78
6,1,48,11,373.42409999998927,0.12854017724084058,50
6,2,10,9,325.28240000001097,0.03074251788599587,6
6,3,39,11,347.63679499999853,0.11218605326286064,34
7,0,42,10,369.3986369999984,0.11369830798807247,79
7,1,47,13,373.42409999998927,0.12586225688165642,51
7,2,12,10,325.28240000001097,0.03689102146319504,7
7,3,45,13,347.63679499999853,0.1294454460725315,35
8,0,17,5,369.3986369999984,0.046020743709457905,80
8,1,21,6,373.42409999998927,0.05623632754286776,52
8,2,6,5,325.28240000001097,0.01844551073159752,8
8,3,15,5,347.63679499999853,0.04314848202417717,36
9,0,19,8,369.3986369999984,0.05143494885174707,73
9,1,19,9,373.42409999998927,0.0508804868244994,69
9,2,16,8,325.28240000001097,0.049188028617593395,9
9,3,17,7,347.63679499999853,0.04890161296073412,13
10,0,13,4,369.3986369999984,0.035192333424879575,74
10,1,18,5,373.42409999998927,0.04820256646531522,70
10,2,17,4,325.28240000001097,0.052262280406192976,10
10,3,12,3,347.63679499999853,0.034518785619341734,14
11,0,17,6,369.3986369999984,0.046020743709457905,75
11,1,18,5,373.42409999998927,0.04820256646531522,71
11,2,17,4,325.28240000001097,0.052262280406192976,11
11,3,17,5,347.63679499999853,0.04890161296073412,15
12,0,21,7,369.3986369999984,0.056849153994036235,76
12,1,22,8,373.42409999998927,0.058914247902051936,72
12,2,20,8,325.28240000001097,0.06148503577199174,12
12,3,18,7,347.63679499999853,0.051778178429012604,16
13,0,35,10,369.3986369999984,0.09474858999006039,69
13,1,35,9,373.42409999998927,0.09372721257144626,9
13,2,32,9,325.28240000001097,0.09837605723518679,13
13,3,29,8,347.63679499999853,0.08342039858007586,73
14,0,31,13,369.3986369999984,0.08392017970548206,70
14,1,27,10,373.42409999998927,0.07230384969797284,10
14,2,19,7,325.28240000001097,0.05841078398339215,14
14,3,24,8,347.63679499999853,0.06903757123868347,74
15,0,46,12,369.3986369999984,0.1245267182726508,71
15,1,49,13,373.42409999998927,0.13121809760002476,11
15,2,42,11,325.28240000001097,0.12911857512118266,15
15,3,42,12,347.63679499999853,0.12081574966769608,75
16,0,53,14,369.3986369999984,0.14347643627066287,72
16,1,57,15,373.42409999998927,0.1526414604734982,12
16,2,48,15,325.28240000001097,0.14756408585278016,16
16,3,44,14,347.63679499999853,0.12656888060425303,76
17,0,37,10,369.3986369999984,0.10016279513234955,65
17,1,35,10,373.42409999998927,0.09372721257144626,25
17,2,37,10,325.28240000001097,0.11374731617818472,17
17,3,26,9,347.63679499999853,0.07479070217524042,57
18,0,45,11,369.3986369999984,0.1218196157015062,66
18,1,54,11,373.42409999998927,0.14460769939594567,26
18,2,53,12,325.28240000001097,0.16293534479577812,18
18,3,58,14,347.63679499999853,0.1668407971601517,58
19,0,23,8,369.3986369999984,0.0622633591363254,67
19,1,17,7,373.42409999998927,0.04552464610613104,27
19,2,14,6,325.28240000001097,0.04303952504039422,19
19,3,16,6,347.63679499999853,0.046025047492455645,59
20,0,29,8,369.3986369999984,0.07850597456319289,68
20,1,23,8,373.42409999998927,0.06159216826123611,28
20,2,34,8,325.28240000001097,0.10452456081238595,20
20,3,40,10,347.63679499999853,0.11506261873113911,60
21,0,48,12,369.3986369999984,0.12994092341493996,61
21,1,48,13,373.42409999998927,0.12854017724084058,45
21,2,44,11,325.28240000001097,0.13526707869838184,21
21,3,47,13,347.63679499999853,0.13519857700908847,37
22,0,33,9,369.3986369999984,0.08933438484777122,62
22,1,18,6,373.42409999998927,0.04820256646531522,46
22,2,12,4,325.28240000001097,0.03689102146319504,22
22,3,19,6,347.63679499999853,0.05465474389729108,38
23,0,40,11,369.3986369999984,0.1082841028457833,63
23,1,34,11,373.42409999998927,0.09104929221226209,47
23,2,32,11,325.28240000001097,0.09837605723518679,23
23,3,37,11,347.63679499999853,0.10643292232630368,39
24,0,47,13,369.3986369999984,0.12723382084379536,64
24,1,52,15,373.42409999998927,0.1392518586775773,48
24,2,48,16,325.28240000001097,0.14756408585278016,24
24,3,47,15,347.63679499999853,0.13519857700908847,40
25,0,27,10,369.3986369999984,0.07309176942090373,57
25,1,22,9,373.42409999998927,0.058914247902051936,65
25,2,21,9,325.28240000001097,0.06455928756059133,25
25,3,29,12,347.63679499999853,0.08342039858007586,17
26,0,29,11,369.3986369999984,0.07850597456319289,58
26,1,28,11,373.42409999998927,0.074981770057157,66
26,2,21,9,325.28240000001097,0.06455928756059133,26
26,3,21,9,347.63679499999853,0.06040787483384804,18
27,0,19,5,369.3986369999984,0.05143494885174707,59
27,1,19,6,373.42409999998927,0.0508804868244994,67
27,2,24,8,325.28240000001097,0.07378204292639008,27
27,3,19,6,347.63679499999853,0.05465474389729108,19
28,0,21,6,369.3986369999984,0.056849153994036235,60
28,1,31,9,373.42409999998927,0.08301553113470955,68
28,2,20,7,325.28240000001097,0.06148503577199174,28
28,3,19,6,347.63679499999853,0.05465474389729108,20
29,0,24,8,369.3986369999984,0.06497046170746998,53
29,1,21,6,373.42409999998927,0.05623632754286776,81
29,2,17,7,325.28240000001097,0.052262280406192976,29
29,3,18,5,347.63679499999853,0.051778178429012604,1
30,0,34,8,369.3986369999984,0.09204148741891581,54
30,1,44,9,373.42409999998927,0.11782849580410387,82
30,2,40,9,325.28240000001097,0.12297007154398348,30
30,3,35,9,347.63679499999853,0.10067979138974673,2
31,0,11,5,369.3986369999984,0.029778128282590407,55
31,1,8,4,373.42409999998927,0.02142336287347343,83
31,2,2,2,325.28240000001097,0.006148503577199174,31
31,3,7,3,347.63679499999853,0.020135958277949347,3
32,0,22,10,369.3986369999984,0.059556256565180814,56
32,1,23,12,373.42409999998927,0.06159216826123611,84
32,2,19,10,325.28240000001097,0.05841078398339215,32
32,3,15,8,347.63679499999853,0.04314848202417717,4
33,0,81,20,369.3986369999984,0.2192753082627112,49
33,1,15,13,373.42409999998927,0.040168805387762685,5
33,2,75,21,325.28240000001097,0.230568884144969,33
33,3,74,19,347.63679499999853,0.21286584465260736,77
34,0,42,13,369.3986369999984,0.11369830798807247,50
34,1,6,6,373.42409999998927,0.016067522155105072,6
34,2,34,12,325.28240000001097,0.10452456081238595,34
34,3,36,12,347.63679499999853,0.10355635685802521,78
35,0,28,10,369.3986369999984,0.07579887199204831,51
35,1,3,2,373.42409999998927,0.008033761077552536,7
35,2,29,10,325.28240000001097,0.08915330186938802,35
35,3,30,10,347.63679499999853,0.08629696404835434,79
36,0,16,6,369.3986369999984,0.04331364113831332,52
36,1,2,2,373.42409999998927,0.005355840718368358,8
36,2,17,5,325.28240000001097,0.052262280406192976,36
36,3,19,6,347.63679499999853,0.05465474389729108,80
37,0,68,18,369.3986369999984,0.18408297483783162,45
37,1,70,19,373.42409999998927,0.1874544251428925,21
37,2,66,19,325.28240000001097,0.20290061804757273,37
37,3,65,18,347.63679499999853,0.18697675543810108,61
38,0,58,15,369.3986369999984,0.15701194912638577,46
38,1,53,15,373.42409999998927,0.1419297790367615,22
38,2,50,13,325.28240000001097,0.15371258942997934,38
38,3,53,16,347.63679499999853,0.15245796981875934,62
39,0,86,22,369.3986369999984,0.2328108211184341,47
39,1,75,20,373.42409999998927,0.20084402693881342,23
39,2,79,22,325.28240000001097,0.24286589129936736,39
39,3,75,21,347.63679499999853,0.21574241012088585,63
40,0,55,14,369.3986369999984,0.14889064141295202,48
40,1,55,15,373.42409999998927,0.14728561975512983,24
40,2,50,15,325.28240000001097,0.15371258942997934,40
40,3,46,15,347.63679499999853,0.13232201154081,64
41,0,18,6,369.3986369999984,0.048727846280602484,43
41,1,24,8,373.42409999998927,0.06427008862042029,44
41,2,16,6,325.28240000001097,0.049188028617593395,41
41,3,20,7,347.63679499999853,0.057531309365569556,42
42,0,36,13,369.3986369999984,0.09745569256120497,44
42,1,26,10,373.42409999998927,0.06962592933878865,41
42,2,26,9,325.28240000001097,0.07993054650358926,42
42,3,31,12,347.63679499999853,0.08917352951663282,43
43,0,29,10,369.3986369999984,0.07850597456319289,41
43,1,34,12,373.42409999998927,0.09104929221226209,42
43,2,32,10,325.28240000001097,0.09837605723518679,43
43,3,37,11,347.63679499999853,0.10643292232630368,44
44,0,26,13,369.3986369999984,0.07038466684975915,42
44,1,33,13,373.42409999998927,0.0883713718530779,43
44,2,23,9,325.28240000001097,0.0707077911377905,44
44,3,35,11,347.63679499999853,0.10067979138974673,41
45,0,27,9,369.3986369999984,0.07309176942090373,37
45,1,30,9,373.42409999998927,0.08033761077552537,61
45,2,26,8,325.28240000001097,0.07993054650358926,45
45,3,26,8,347.63679499999853,0.07479070217524042,21
46,0,17,7,369.3986369999984,0.046020743709457905,38
46,1,17,6,373.42409999998927,0.04552464610613104,62
46,2,16,7,325.28240000001097,0.049188028617593395,46
46,3,18,8,347.63679499999853,0.051778178429012604,22
47,0,48,16,369.3986369999984,0.12994092341493996,39
47,1,56,16,373.42409999998927,0.149963540114314,63
47,2,46,16,325.28240000001097,0.141415582275581,47
47,3,52,16,347.63679499999853,0.14958140435048084,23
48,0,43,11,369.3986369999984,0.11640541055921705,40
48,1,38,10,373.42409999998927,0.1017609736489988,64
48,2,35,10,325.28240000001097,0.10759881260098554,48
48,3,31,10,347.63679499999853,0.08917352951663282,24
49,0,15,4,369.3986369999984,0.04060653856716874,33
49,1,19,5,373.42409999998927,0.0508804868244994,77
49,2,17,5,325.28240000001097,0.052262280406192976,49
49,3,4,4,347.63679499999853,0.011506261873113911,5
50,0,47,14,369.3986369999984,0.12723382084379536,34
