# This file specifies the times (floored bkjd) and skygroups during which
# an anomalous number of long-period (>50 days) transits were detected.
#
# bkjd skygroup
133.00 55
133.00 78
134.00 78
134.50 66
135.00 43
135.50 43
136.00 43
136.50 41
137.50 36
138.00 43
138.00 75
138.00 82
138.50 22
139.50 14
139.50 61
140.00 43
140.50 55
140.50 77
140.50 79
140.50 80
141.50 68
142.00 61
144.00 28
144.00 32
144.00 49
145.00 76
145.50 67
147.50 31
148.50 38
148.50 66
151.00 36
151.00 53
151.50 74
152.00 4
153.00 60
153.50 76
154.50 36
156.50 38
158.50 78
161.50 10
161.50 25
161.50 70
162.50 19
162.50 54
162.50 66
164.00 67
171.00 52
172.00 18
172.00 22
172.00 41
172.00 46
172.00 62
172.50 40
172.50 58
172.50 73
173.00 18
173.00 42
173.00 58
173.50 13
173.50 62
174.00 53
174.50 68
174.50 76
174.50 81
175.00 55
175.50 42
175.50 73
176.00 7
176.00 56
177.50 19
178.50 57
182.00 4
182.50 22
182.50 73
183.00 22
183.00 27
183.00 73
184.00 12
184.50 18
185.00 18
185.00 55
185.50 18
185.50 42
185.50 58
185.50 68
186.00 18
186.50 18
186.50 63
187.00 18
187.50 12
188.00 51
188.50 73
190.50 64
191.50 25
193.00 22
196.00 55
197.00 32
198.50 49
199.50 4
200.50 80
201.00 80
203.50 55
205.00 12
206.00 74
206.50 56
208.00 28
208.50 39
209.00 16
209.00 53
209.00 68
209.00 73
209.50 36
209.50 55
209.50 79
211.00 67
212.00 29
213.00 74
213.50 74
214.50 38
215.00 59
217.00 25
218.00 58
221.00 41
221.00 58
223.00 51
223.00 58
223.50 25
224.00 58
224.00 80
227.00 38
230.00 55
230.00 58
230.50 54
230.50 58
231.00 58
231.00 65
231.50 58
232.00 19
232.00 58
232.50 58
233.00 26
233.00 58
233.50 26
233.50 58
234.00 26
234.00 58
234.50 58
235.00 26
235.00 58
235.00 73
235.50 58
236.00 58
237.00 26
238.00 58
238.50 58
238.50 61
239.00 19
240.00 58
240.00 60
241.50 22
241.50 58
244.50 60
244.50 75
245.00 56
245.00 75
246.00 58
246.50 55
246.50 83
249.00 56
250.00 52
250.00 76
250.50 76
250.50 80
251.50 49
254.00 54
254.50 4
254.50 18
254.50 20
254.50 39
254.50 64
254.50 80
255.00 41
255.50 57
260.50 41
260.50 47
261.00 41
263.00 41
263.50 41
264.00 24
264.00 36
264.50 41
266.00 41
266.00 66
267.00 10
268.00 66
270.00 55
271.00 18
271.50 46
272.00 41
273.00 46
273.00 59
273.50 83
274.00 50
274.50 12
276.50 41
280.50 26
283.00 61
283.00 79
283.00 83
284.00 31
284.00 46
284.50 18
285.00 75
286.00 80
286.50 54
286.50 65
288.50 3
290.00 41
290.50 41
294.00 41
294.00 55
295.00 36
295.00 41
295.00 56
295.00 59
295.50 83
297.00 46
299.00 41
299.50 32
299.50 41
300.00 41
300.50 41
300.50 78
301.00 16
301.50 56
302.00 68
304.50 67
305.00 45
305.00 46
305.50 81
307.00 66
307.50 66
307.50 80
308.50 22
308.50 46
308.50 66
309.00 5
309.00 49
309.00 66
311.00 46
315.00 56
315.50 27
317.50 74
322.50 26
322.50 79
324.00 26
324.50 60
326.00 62
326.50 66
327.00 17
327.00 26
327.00 66
327.50 64
332.00 41
332.00 52
332.00 78
332.00 80
333.50 27
336.50 37
336.50 55
338.50 31
339.00 56
339.00 76
339.50 64
341.50 55
343.50 55
344.00 19
345.00 67
348.00 55
349.00 76
352.50 73
353.50 11
354.50 73
355.00 19
355.50 55
356.00 63
357.00 54
359.50 57
361.50 18
365.00 68
365.50 46
365.50 61
366.50 59
367.50 55
