# This file specifies the times (floored bkjd) and skygroups during which
# an anomalous number of long-period (>50 days) transits were detected.
#
# bkjd skygroup
131.50 59
132.50 56
133.50 41
133.50 43
133.50 67
134.00 43
134.00 78
135.00 54
135.00 75
135.50 43
136.00 41
136.00 43
136.00 75
137.00 43
137.00 82
137.50 43
138.00 37
138.00 43
138.00 76
138.50 43
138.50 45
138.50 61
139.50 14
139.50 36
139.50 43
139.50 56
139.50 73
140.00 16
140.00 43
140.50 74
140.50 77
141.00 4
141.00 40
141.00 61
143.00 82
143.50 78
144.50 41
144.50 43
144.50 77
145.00 46
145.00 57
145.00 73
145.50 18
145.50 61
146.00 18
146.50 75
146.50 76
146.50 78
147.50 62
147.50 74
148.50 38
148.50 59
149.50 66
150.50 74
150.50 79
151.50 65
151.50 75
152.50 57
152.50 73
152.50 75
153.50 44
154.00 18
154.50 66
154.50 82
154.50 84
155.00 38
155.00 74
156.00 80
157.00 76
158.00 36
158.00 47
158.00 57
159.00 75
160.00 2
160.50 37
160.50 79
161.00 41
161.00 73
161.50 37
161.50 57
161.50 75
162.00 17
162.00 59
162.00 75
162.00 81
162.50 43
162.50 51
162.50 53
163.00 75
171.50 42
171.50 58
172.00 36
172.00 42
172.00 58
172.50 14
172.50 18
172.50 58
172.50 59
173.00 18
173.00 36
173.00 42
173.00 54
173.00 58
173.00 75
174.00 20
174.00 62
174.50 42
175.00 11
175.50 42
175.50 62
176.00 11
176.00 82
176.50 60
177.00 80
177.50 11
178.00 42
178.00 61
179.00 77
179.00 81
182.00 51
182.50 13
182.50 59
184.50 18
184.50 20
185.00 18
185.50 18
186.00 18
186.00 58
186.00 62
186.00 75
186.50 18
186.50 58
187.00 18
187.00 63
187.50 75
188.50 78
189.00 73
189.00 75
189.50 61
190.00 76
190.50 38
190.50 58
190.50 64
190.50 75
191.50 66
192.00 75
192.50 76
193.00 38
193.00 77
193.50 82
195.00 61
195.00 82
195.50 15
196.00 57
196.00 68
196.50 14
196.50 75
197.00 35
197.50 59
197.50 73
198.00 80
199.00 61
199.00 73
199.50 78
200.50 64
200.50 80
201.00 5
201.00 61
202.50 84
203.00 75
203.50 50
203.50 74
204.00 55
205.50 75
206.00 71
208.00 79
208.50 61
209.00 80
211.00 82
211.50 65
212.50 51
212.50 70
213.00 63
213.50 80
214.00 42
214.00 51
214.50 24
214.50 82
215.00 75
215.00 84
215.50 77
216.00 60
216.00 75
217.00 77
217.50 58
218.50 40
219.00 11
219.50 79
220.00 51
220.50 78
221.00 78
222.00 61
222.50 78
223.50 42
224.00 22
224.00 24
224.00 78
224.50 43
225.50 52
226.00 19
227.00 35
228.50 75
230.50 58
230.50 74
231.00 58
231.00 75
231.50 26
231.50 58
232.00 58
232.50 26
232.50 58
233.00 26
233.00 58
233.50 26
233.50 46
233.50 58
233.50 75
234.00 58
234.00 67
234.50 26
234.50 58
234.50 82
235.00 26
235.00 53
235.00 58
235.00 75
235.50 58
236.00 26
236.00 58
236.00 63
236.00 67
237.50 58
237.50 59
237.50 75
238.50 56
238.50 58
239.50 58
240.50 73
240.50 77
241.50 15
242.00 74
243.50 61
243.50 77
244.00 58
244.00 60
244.00 75
244.50 54
246.50 11
246.50 23
246.50 67
246.50 80
247.00 61
247.00 65
247.00 75
247.50 4
247.50 61
248.50 84
249.50 61
250.00 11
250.50 17
250.50 34
250.50 57
250.50 60
250.50 75
251.00 20
251.00 22
251.00 64
251.50 68
252.50 21
253.00 38
253.00 65
253.50 29
253.50 41
253.50 63
254.00 36
254.50 57
254.50 83
255.00 31
255.50 55
256.00 73
256.50 78
261.00 41
261.50 41
262.50 61
263.50 41
263.50 51
264.00 38
264.00 41
264.00 58
264.50 29
264.50 55
264.50 61
265.50 66
266.00 38
266.00 53
266.50 80
268.00 53
268.00 67
268.00 75
268.00 80
269.00 75
270.50 18
270.50 57
271.00 34
271.00 84
271.50 24
271.50 66
271.50 79
272.00 62
274.00 74
274.00 82
274.50 58
275.00 73
275.50 69
275.50 75
276.50 17
276.50 74
277.50 79
280.00 49
282.50 51
285.00 75
285.50 49
286.50 55
286.50 64
287.00 64
287.00 73
287.50 21
287.50 38
287.50 80
290.00 68
290.50 53
290.50 61
291.50 44
291.50 56
292.50 67
293.50 78
294.00 29
295.50 82
296.50 48
296.50 73
297.00 66
297.50 51
297.50 55
297.50 77
297.50 78
298.00 73
298.00 81
298.50 51
299.00 73
299.50 41
299.50 62
300.50 78
301.00 34
301.00 41
302.00 77
303.00 61
303.00 78
304.00 66
305.00 23
305.00 73
305.00 80
305.50 51
305.50 79
306.00 74
306.50 35
307.00 66
307.50 57
307.50 66
307.50 71
307.50 77
308.00 18
308.50 66
309.00 66
309.50 66
310.00 50
310.50 56
311.00 83
312.00 74
312.00 75
312.50 38
312.50 75
313.00 58
313.00 66
313.50 13
313.50 78
313.50 80
313.50 81
315.00 43
315.00 73
316.00 77
316.50 43
316.50 76
317.00 74
317.50 74
317.50 84
318.50 63
318.50 75
319.00 74
320.00 58
323.00 38
323.00 80
323.00 82
323.50 75
323.50 79
324.50 31
325.50 58
325.50 80
326.00 37
326.00 61
326.00 71
327.00 17
327.50 18
328.00 37
328.00 43
