# This file specifies the times (floored bkjd) and skygroups during which
# an anomalous number of long-period (>50 days) transits were detected.
#
# bkjd skygroup
133.50 62
133.50 63
133.50 66
133.50 71
133.50 73
133.50 74
133.50 75
133.50 76
133.50 77
133.50 81
133.50 82
134.50 81
137.00 59
141.50 28
145.50 77
147.50 80
149.50 64
149.50 81
151.50 65
152.00 59
152.50 65
155.50 58
155.50 60
156.00 79
156.00 80
157.00 51
160.50 33
160.50 75
162.00 61
162.50 56
163.00 38
173.50 38
175.00 65
175.50 4
177.00 2
178.00 65
179.00 81
180.00 41
180.50 17
180.50 18
180.50 22
180.50 33
180.50 41
180.50 42
180.50 48
180.50 65
180.50 73
180.50 77
180.50 82
180.50 83
181.00 40
181.00 61
182.50 77
183.50 17
184.00 4
184.00 26
184.00 54
184.00 66
184.00 75
184.50 81
185.50 38
188.50 82
189.50 66
190.00 18
192.50 31
195.00 77
199.00 3
199.00 18
199.00 51
200.50 80
201.50 18
202.00 66
202.50 18
202.50 51
204.00 43
205.00 18
205.00 51
205.50 66
208.50 56
210.00 73
210.50 75
211.50 11
212.50 43
213.00 43
213.00 53
213.50 23
214.00 18
214.00 66
214.50 43
215.50 57
216.00 74
216.50 43
219.50 4
220.00 45
226.50 4
226.50 46
226.50 79
227.00 67
228.50 33
229.00 11
230.00 40
231.00 75
234.00 84
234.50 58
235.50 58
236.00 63
236.50 23
238.50 31
240.00 51
247.00 58
249.50 26
254.50 43
256.00 57
256.00 58
256.50 58
256.50 62
257.00 58
257.50 58
268.00 51
268.50 31
271.00 73
274.00 75
276.00 64
276.00 68
277.50 51
277.50 80
285.00 38
287.00 58
287.50 58
288.00 58
288.50 42
288.50 58
289.00 26
289.00 58
289.50 58
290.00 58
290.50 58
291.00 58
298.00 59
299.50 82
301.50 56
302.00 61
304.00 31
304.00 61
306.50 74
313.00 75
315.50 51
325.50 61
329.00 49
331.00 41
331.00 54
331.50 41
332.00 52
332.00 66
332.50 24
332.50 41
333.50 39
334.50 49
337.50 49
338.00 74
339.50 56
342.50 81
344.50 41
345.50 79
347.00 77
347.50 41
348.00 41
348.50 18
353.50 55
357.50 79
358.00 67
363.00 4
364.00 74
369.00 38
369.50 38
369.50 78
370.00 38
371.50 37
371.50 57
372.00 75
374.00 23
375.00 79
376.00 18
379.00 80
381.00 51
384.50 58
386.00 49
388.00 48
388.00 65
391.00 49
391.50 40
391.50 66
392.50 23
393.50 49
394.50 31
397.00 71
397.50 51
398.00 51
398.00 84
399.00 49
400.50 61
401.50 51
402.50 63
403.50 51
403.50 75
404.50 24
404.50 49
404.50 80
411.50 63
415.50 80
416.50 38
423.00 60
426.50 46
427.00 61
429.00 48
432.00 49
435.50 61
439.00 64
440.00 31
440.50 57
441.50 81
443.50 78
444.00 59
444.50 13
457.50 84
460.50 46
461.50 58
462.50 45
464.50 63
470.50 73
476.50 30
476.50 76
477.00 58
477.00 84
478.00 47
478.00 83
482.00 43
485.00 58
485.50 16
492.00 84
494.50 53
495.50 26
496.50 71
497.50 38
498.50 58
500.00 81
500.50 73
501.50 61
502.00 18
504.00 28
504.00 84
512.50 59
514.00 73
516.00 31
521.00 31
521.00 64
521.50 10
522.50 48
524.50 25
525.00 63
525.50 45
527.00 82
528.00 48
528.00 73
529.00 65
529.50 47
530.00 73
531.50 82
537.00 66
539.50 38
540.50 17
550.50 59
550.50 63
555.50 17
560.50 38
564.00 74
565.00 57
565.50 74
568.50 53
570.50 18
572.50 51
579.00 66
579.50 17
579.50 66
580.00 18
580.00 66
580.50 66
582.00 43
582.50 43
583.50 73
584.00 61
584.50 43
584.50 66
585.00 74
585.50 43
588.00 66
590.50 31
591.00 63
591.50 31
591.50 43
591.50 60
593.00 75
593.50 66
594.00 65
594.50 53
603.50 42
605.00 51
605.50 61
606.00 68
608.00 58
608.00 75
609.00 59
609.50 21
609.50 38
609.50 55
611.00 74
612.00 81
613.00 22
614.00 46
614.00 67
614.50 75
615.00 18
615.00 81
617.50 81
620.00 84
620.50 58
621.00 58
623.50 42
624.00 26
625.00 55
626.00 81
626.50 59
629.00 42
632.00 45
632.00 75
632.00 76
632.00 84
633.00 84
633.50 18
639.50 26
639.50 58
640.00 58
641.50 58
642.00 61
643.50 53
644.00 83
645.50 59
646.00 51
648.00 15
653.00 83
654.00 73
655.00 31
656.00 65
660.00 31
661.00 62
662.50 31
664.00 58
668.00 74
671.50 58
672.00 58
672.50 58
673.00 58
675.00 58
676.50 51
677.00 65
677.50 46
677.50 49
679.00 51
680.50 17
686.50 3
692.00 38
694.50 66
694.50 67
695.50 15
696.00 70
699.50 75
701.50 41
702.00 38
702.00 41
702.50 41
704.00 58
704.50 54
704.50 83
705.50 49
